# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Extended Variant Mode

MODOPTIONS_EXTENDEDVARIANTS_HEADING=	Variants
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=	Dashing
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=	Jumpint
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=	Vertical speed
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=	Moving around
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OTHER=	Other

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=	Enabled
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=	Gravity
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=	Max fall speed
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=	Jump height
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=	Walk speed
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=	Stamina (default 110)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=	Dash speed
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=	Dash count
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=	Ground Friction
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=	Default
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=	Disable wall jumping
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=	Jump count
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=	Infinite
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT=	Reset to default values
MODOPTIONS_EXTENDEDVARIANTS_UPSIDEDOWN=	Upside Down
MODOPTIONS_EXTENDEDVARIANTS_HYPERDASHSPEED=	Hyperdash speed
MODOPTIONS_EXTENDEDVARIANTS_DASHLENGTH=	Dash duration
