# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Variant Mode étendu

MODOPTIONS_EXTENDEDVARIANTS_HEADING=	Variantes
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=	Dashes
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=	Sauts
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=	Vitesse verticale
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=	Déplacements
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OTHER=	Autres

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=	Activé
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=	Gravité
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=	Vitesse max. de chute
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=	Hauteur des sauts
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=	Vitesse de marche
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=	Endurance (110 par défaut)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=	Vitesse du dash
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=	Nombre de dashes
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=	Friction au sol
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=	Par défaut
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=	Désactiver les sauts muraux
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=	Nombre de sauts
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=	Infini
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT=	Revenir aux valeurs par défaut
