# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Mode Variante étendu

POSTCARD_EXTENDEDVARIANTS_FORCEENABLED=	Tu entres dans une map qui utilise le {# 9B3FB5}Mode Variante étendu{#}.{n}{n}Pour que cette map fonctionne, les {# 9B3FB5}variantes étendues{#} ont été activées et remises à zéro à leurs valeurs par défaut.

MODOPTIONS_EXTENDEDVARIANTS_HEADING=	Variantes
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=	Dashes
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=	Sauts
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=	Vitesse verticale
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=	Déplacements
MODOPTIONS_EXTENDEDVARIANTS_HEADING_CHASERS=	Courses-poursuites
MODOPTIONS_EXTENDEDVARIANTS_HEADING_BOSSES=	Boss final
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OSHIRO=	Oshiro
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OTHER=	Modifications de gameplay
MODOPTIONS_EXTENDEDVARIANTS_HEADING_TROLL=	Variantes troll
MODOPTIONS_EXTENDEDVARIANTS_HEADING_EVERYWHERE=	Autres éléments de jeu
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VISUAL=	Modifications visuelles
MODOPTIONS_EXTENDEDVARIANTS_HEADING_RANDOMIZER=	Variantes aléatoires

MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_MOVEMENT=	Mouvement
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_GAMEELEMENTS=	Éléments de jeu
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_VISUAL=	Modifications visuelles
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_GAMEPLAYTWEAKS=	Modifications de gameplay

MODOPTIONS_EXTENDEDVARIANTS_OPTIONSOUTOFMODOPTIONSMENU= Menu séparé pour les variantes
MODOPTIONS_EXTENDEDVARIANTS_SUBMENUFOREACHCATEGORY=	Sous-menu par catégorie
MODOPTIONS_EXTENDEDVARIANTS_PAUSEMENU_BUTTON=	Variantes étendues
MODOPTIONS_EXTENDEDVARIANTS_MODOPTIONS_BUTTON=	Options des variantes étendues

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=	Activé
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=	Gravité
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=	Vitesse max. de chute
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=	Hauteur des sauts
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=	Vitesse horizontale
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=	Endurance (110 par défaut)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=	Vitesse du dash
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=	Nombre de dashes
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=	Friction au sol
MODOPTIONS_EXTENDEDVARIANTS_AIRFRICTION=	Friction en l'air
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=	Par défaut
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=	Désactiver les sauts muraux
MODOPTIONS_EXTENDEDVARIANTS_DISABLECLIMBJUMPING=	Désactiver les sauts en escaladant
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=	Nombre de sauts
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=	Infini
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT=	Revenir aux valeurs par défaut
MODOPTIONS_EXTENDEDVARIANTS_UPSIDEDOWN=	Affichage à l'envers
MODOPTIONS_EXTENDEDVARIANTS_HYPERDASHSPEED=	Vitesse des hyperdashes
MODOPTIONS_EXTENDEDVARIANTS_WALLBOUNCINGSPEED=	Vitesse des super-sauts muraux
MODOPTIONS_EXTENDEDVARIANTS_DASHLENGTH=	Durée du dash
MODOPTIONS_EXTENDEDVARIANTS_FORCEDUCKONGROUND=	Toujours se baisser au sol
MODOPTIONS_EXTENDEDVARIANTS_INVERTDASHES=	Inverser les dashes
MODOPTIONS_EXTENDEDVARIANTS_INVERTGRAB=	Inverser la touche Attraper
MODOPTIONS_EXTENDEDVARIANTS_DISABLENEUTRALJUMPING=	Interdire les "neutral jumps"
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSRANDOMLY=	Changer les variantes aléatoirement
