# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	확장된 별형 모드

POSTCARD_EXTENDEDVARIANTS_FORCEENABLED=	
지금 {# 9B3FB5}확장된 별형 모드{#}를 사용하는 맵에 들어가고 있습니다.{n}{n}이 맵이 작동하기 위해서는, {# 9B3FB5}확장된 별형 모드{#}가 켜져졌고, 기본값으로 다시 설정되었습니다.

MODOPTIONS_EXTENDEDVARIANTS_HEADING=	별형
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=	대시
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=	점프
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=	수직 속도
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=	움직임
MODOPTIONS_EXTENDEDVARIANTS_HEADING_CHASERS=	배드라인 추격자
MODOPTIONS_EXTENDEDVARIANTS_HEADING_BOSSES=	배드라인 보스
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OSHIRO=	오시로
MODOPTIONS_EXTENDEDVARIANTS_HEADING_TROLL=	트롤 별형
MODOPTIONS_EXTENDEDVARIANTS_HEADING_RANDOMIZER=	무작위화 생성기

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=	허용
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=	중력
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=	최대 낙하 속도
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=	점프 높이
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=	수평 속도
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=	스태미나 (기본 110)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=	대시 속도
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=	대시 개수
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=	지면 마찰
MODOPTIONS_EXTENDEDVARIANTS_AIRFRICTION=	공기 마찰
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=	기본
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=	벽 점프 끄기
MODOPTIONS_EXTENDEDVARIANTS_DISABLECLIMBJUMPING=	잡기 점프 끄기
