# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODNAME_EXTENDEDVARIANTMODE=    Extended Variant Mode
MODOPTIONS_EXTENDEDVARIANTS_TITLE=   Tryb Dodatkowych Modyfikacji

POSTCARD_EXTENDEDVARIANTS_FORCEENABLED=    Zaraz zagrasz w mapę która używa {# 9B3FB5}Trybu Dodatkowych Modyfikacji{#}.{n}{n}Żeby ta mapa zadziałała, {# 9B3FB5}Dodatkowe Modyfikacje{#} zostały włączone i zresetowane do domyślnych opcji.

MODOPTIONS_EXTENDEDVARIANTS_HEADING=    Modyfikacje
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=    Szarżowanie
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=    Skakanie
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=    Szybkość w pionie
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=    Poruszanie się
MODOPTIONS_EXTENDEDVARIANTS_HEADING_CHASERS=    Zładeline - Klon
MODOPTIONS_EXTENDEDVARIANTS_HEADING_BOSSES=   Zładeline - Boss
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OSHIRO=    Oshiro
MODOPTIONS_EXTENDEDVARIANTS_HEADING_THEO=    Kryształy Theo
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OTHER=    Zmiany w Rozgrywce
MODOPTIONS_EXTENDEDVARIANTS_HEADING_TROLL=    Trollujące opcje
MODOPTIONS_EXTENDEDVARIANTS_HEADING_EVERYWHERE=   Inne Elementy Gry
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MADELINE=    Zmiany Wyglądu Madeline
MODOPTIONS_EXTENDEDVARIANTS_HEADING_LEVEL=    Zmiany Wyglądu Mapy
MODOPTIONS_EXTENDEDVARIANTS_HEADING_RANDOMIZER=    Randomizator

MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_MOVEMENT=    Ruch
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_GAMEELEMENTS=    Zmiany Elementów Gry
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_VISUAL=    Wygląd
MODOPTIONS_EXTENDEDVARIANTS_SUBMENU_GAMEPLAYTWEAKS=    Zmiany w Rozgrywce

MODOPTIONS_EXTENDEDVARIANTS_OPTIONSOUTOFMODOPTIONSMENU= Modyfikacje są w osobnym menu
MODOPTIONS_EXTENDEDVARIANTS_SUBMENUFOREACHCATEGORY=    Minimenu dla każdej kategorii 
MODOPTIONS_EXTENDEDVARIANTS_PAUSEMENU_BUTTON=    Dodatkowe Modyfikacje
MODOPTIONS_EXTENDEDVARIANTS_MODOPTIONS_BUTTON=    Ustawienia Dodatkowych Modyfikacji

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=    Włączone
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=    Grawitacja
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=    Maksymalna szybkość spadania
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=    Wysokość Skoku
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=    Szybkość w poziomie
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=    Wytrzymałość (domyślnie 110)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=    Szybkość Szarży
MODOPTIONS_EXTENDEDVARIANTS_LEGACYDASHSPEEDBEHAVIOR=    Dawne Działanie Szybkości Szarży
MODOPTIONS_EXTENDEDVARIANTS_LEGACYDASHSPEEDBEHAVIOR_HINT=    Dla "Tryb Teleportu’’ TAS, inaczej zalecane jest niewłączanie
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=    Ilość Szarż
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=    Tarcie na Ziemi
MODOPTIONS_EXTENDEDVARIANTS_AIRFRICTION=    Tarcie w Powietrzu
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=    Domyślnie
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=    Wyłącz odskakiwanie od ścian
MODOPTIONS_EXTENDEDVARIANTS_DISABLECLIMBJUMPING=    Wyłącz podskok podczas wspinaczki
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=    Ilość Skoków
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=    Nieskończona
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT_EXTENDED=    Zresetuj ustawienia Dodatkowych Modyfikacji
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT_VANILLA=    Zresetuj ustawienia Podstawowych Modyfikacji
MODOPTIONS_EXTENDEDVARIANTS_UPSIDEDOWN=    Do góry nogami
MODOPTIONS_EXTENDEDVARIANTS_HYPERDASHSPEED=    Szybkość Hiperszarży
MODOPTIONS_EXTENDEDVARIANTS_WALLBOUNCINGSPEED=    Szybkość Ścianodbicia
MODOPTIONS_EXTENDEDVARIANTS_DASHLENGTH=    Długość Szarży
MODOPTIONS_EXTENDEDVARIANTS_FORCEDUCKONGROUND=    Zmuś do kucania na ziemi
MODOPTIONS_EXTENDEDVARIANTS_INVERTDASHES=    Odwróć Szarże
MODOPTIONS_EXTENDEDVARIANTS_INVERTGRAB=  Odwróć Trzymanie
MODOPTIONS_EXTENDEDVARIANTS_DISABLENEUTRALJUMPING=    Wyłącz Bezstronne Skoki
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSRANDOMLY=    Losowo Zmieniaj Modyfikacje
MODOPTIONS_EXTENDEDVARIANTS_OFF=    Wyłącz
MODOPTIONS_EXTENDEDVARIANTS_VANILLA=    Podstawowe
MODOPTIONS_EXTENDEDVARIANTS_EXTENDED=    Dodatkowe
MODOPTIONS_EXTENDEDVARIANTS_BOTH=    Oba
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSINTERVAL=    Zmieniaj Modyfikacje...
MODOPTIONS_EXTENDEDVARIANTS_ONSCREENTRANSITION=    Na każdym ekranie
MODOPTIONS_EXTENDEDVARIANTS_EVERY=    Co
MODOPTIONS_EXTENDEDVARIANTS_BADELINECHASERSEVERYWHERE=    Zładeline klon jest wszędzie
