# NOTES:
# The # Symbol at the start of a line counts as a Comment. To include in dialog, use a \#
# The . Symbol will cause a pause unless escaped with \. (ex: Mr. Oshiro has a pause, Mr\. Oshiro does not)
# Newlines automatically create a Page Break, unless there is an {n} command on the previous line
# Commands: Anything inside of curly braces {...} is a command and should not be translated.

# Inline Text Commands:
# {~}wavy text{/~}
# {!}impact text{/!}
# {>> x}changes speed at which characters are displayed{>>}
# {# 000000}this text is black{#} (uses HEX color values)
# {+MENU_BEGIN} inserts the dialog from the MENU_BEGIN value (in English, "CLIMB")
# {n} creates a newline, without a page break
# {0.5} creates a 0.5 second pause
# {big}this text is large{/big}

# Gameplay Control Commands (should never change)
# {trigger x} this triggers an in-game event
# {anchor} controls the visual position of the textbox in-game

MODOPTIONS_EXTENDEDVARIANTS_TITLE=	Modo de variantes extendido

POSTCARD_EXTENDEDVARIANTS_FORCEENABLED=	Estás ingresando en un mapa usando {# 9B3FB5}el Modo de variantes extendido{#}.{n}{n}Para que este mapa funcione, {# 9B3FB5}las variantes extendidas{#} han sido habilitadas y restablecidas a sus valores predeterminados.

MODOPTIONS_EXTENDEDVARIANTS_HEADING=	Variantes
MODOPTIONS_EXTENDEDVARIANTS_HEADING_DASHING=	Impulso
MODOPTIONS_EXTENDEDVARIANTS_HEADING_JUMPING=	Saltos
MODOPTIONS_EXTENDEDVARIANTS_HEADING_VERTICALSPEED=	Velocidad vertical
MODOPTIONS_EXTENDEDVARIANTS_HEADING_MOVING=	Movimiento
MODOPTIONS_EXTENDEDVARIANTS_HEADING_CHASERS=	Persecución de Badeline
MODOPTIONS_EXTENDEDVARIANTS_HEADING_OTHER=	Otros
MODOPTIONS_EXTENDEDVARIANTS_HEADING_TROLL=	Variantes Troll
MODOPTIONS_EXTENDEDVARIANTS_HEADING_EVERYWHERE=	Añadir peligros
MODOPTIONS_EXTENDEDVARIANTS_HEADING_GLOBAL=	Modificaciónes generales
MODOPTIONS_EXTENDEDVARIANTS_HEADING_RANDOMIZER=	Aleatorizador

MODOPTIONS_EXTENDEDVARIANTS_MASTERSWITCH=	Habilitado
MODOPTIONS_EXTENDEDVARIANTS_GRAVITY=	Gravedad
MODOPTIONS_EXTENDEDVARIANTS_FALLSPEED=	Velocidad de caída máxima
MODOPTIONS_EXTENDEDVARIANTS_JUMPHEIGHT=	Altura de salto
MODOPTIONS_EXTENDEDVARIANTS_SPEEDX=	Velocidad horizontal
MODOPTIONS_EXTENDEDVARIANTS_STAMINA=	Resistencia (Defecto 110)
MODOPTIONS_EXTENDEDVARIANTS_DASHSPEED=	Velocidad de impulso
MODOPTIONS_EXTENDEDVARIANTS_DASHCOUNT=	Contador de impulsos
MODOPTIONS_EXTENDEDVARIANTS_FRICTION=	Fricción del suelo
MODOPTIONS_EXTENDEDVARIANTS_AIRFRICTION=	Fricción del aire
MODOPTIONS_EXTENDEDVARIANTS_DEFAULT=	Por defecto
MODOPTIONS_EXTENDEDVARIANTS_DISABLEWALLJUMPING=	Desactivar salto en la pared
MODOPTIONS_EXTENDEDVARIANTS_JUMPCOUNT=	Contador de saltos
MODOPTIONS_EXTENDEDVARIANTS_INFINITE=	Infinito
MODOPTIONS_EXTENDEDVARIANTS_RESETTODEFAULT=	Restablecer valores por defecto
MODOPTIONS_EXTENDEDVARIANTS_UPSIDEDOWN=	Al revés
MODOPTIONS_EXTENDEDVARIANTS_HYPERDASHSPEED=	Velocidad del hiperimpulso
MODOPTIONS_EXTENDEDVARIANTS_WALLBOUNCINGSPEED=	Velocidad al rebotar en pared
MODOPTIONS_EXTENDEDVARIANTS_DASHLENGTH=	Duración del impulso
MODOPTIONS_EXTENDEDVARIANTS_FORCEDUCKONGROUND=	Forzar agacharse en el suelo
MODOPTIONS_EXTENDEDVARIANTS_INVERTDASHES=	Invertir impulsos
MODOPTIONS_EXTENDEDVARIANTS_DISABLENEUTRALJUMPING=	Desactivar saltos neutrales en la pared
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSRANDOMLY=	Cambio aleatorio de variantes 
MODOPTIONS_EXTENDEDVARIANTS_OFF=	Apagado
MODOPTIONS_EXTENDEDVARIANTS_VANILLA=	Vanilla
MODOPTIONS_EXTENDEDVARIANTS_EXTENDED=	Extendido
MODOPTIONS_EXTENDEDVARIANTS_BOTH=	Ambos
MODOPTIONS_EXTENDEDVARIANTS_CHANGEVARIANTSINTERVAL=	Modificar variantes...
MODOPTIONS_EXTENDEDVARIANTS_ONSCREENTRANSITION=	En cada pantalla
MODOPTIONS_EXTENDEDVARIANTS_EVERY=	Cada
MODOPTIONS_EXTENDEDVARIANTS_BADELINECHASERSEVERYWHERE=	Badeline te persigue siempre
MODOPTIONS_EXTENDEDVARIANTS_CHASERCOUNT=	Cantidad de perseguidores
MODOPTIONS_EXTENDEDVARIANTS_AFFECTEXISTINGCHASERS=	Afecta a ya existentes
MODOPTIONS_EXTENDEDVARIANTS_REGULARHICCUPS=	Hipo cada...
MODOPTIONS_EXTENDEDVARIANTS_HICCUPSTRENGTH=	Fuerza del hipo
MODOPTIONS_EXTENDEDVARIANTS_DISABLED=	Deshabilitado
MODOPTIONS_EXTENDEDVARIANTS_REFILLJUMPSONDASHREFILL=	Recargar saltos al recargar impulso
MODOPTIONS_EXTENDEDVARIANTS_ROOMLIGHTING=	Iluminación de la sala 
MODOPTIONS_EXTENDEDVARIANTS_ROOMBLOOM=	Brillo de la sala 
MODOPTIONS_EXTENDEDVARIANTS_OSHIROEVERYWHERE=	Oshiro siempre
MODOPTIONS_EXTENDEDVARIANTS_DISABLEOSHIROSLOWDOWN=	Desactivar realentización de Oshiro
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE=	Viento siempre
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFT=	Izquierda
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHT=	Derecha
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTSTRONG=	Izquierda fuerte
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTSTRONG=	Derecha fuerte
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFF=	Izquierda Si/No
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFF=	Derecha Si/No
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_LEFTONOFFFAST=	Izquierda Si/No rápido
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_RIGHTONOFFFAST=	Derecha Si/No rápido
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_ALTERNATING=	Alternar
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_DOWN=	Abajo
MODOPTIONS_EXTENDEDVARIANTS_WINDEVERYWHERE_UP=	Arriba
